This data file provides the observational data behind Figure 7.13
"It was produced by Dan Lunt, using script plot_all_fgd.pro"
Time Period,SST or SAT,longitude [degrees],latitude [degrees],lower error bar [degreesC],mean temperature [degreesC],upper error bar [degreesC]
"LGM","SAT",27.0000,49.0000,0.706864,14.5104,0.706864
"LGM","SAT",29.0000,-29.0000,0.994114,5.08258,0.994114
"LGM","SAT",29.0000,-25.0000,0.932127,4.80496,0.932127
"LGM","SAT",29.0000,-5.00000,0.728785,3.53739,0.728785
"LGM","SAT",29.0000,-3.00000,0.735463,3.76215,0.735463
"LGM","SAT",29.0000,-1.00000,0.808762,4.03691,0.808762
"LGM","SAT",29.0000,37.0000,0.789396,9.77639,0.789396
"LGM","SAT",31.0000,-11.0000,0.678530,3.91012,0.678530
"LGM","SAT",31.0000,-9.00000,0.574167,3.75908,0.574167
"LGM","SAT",31.0000,39.0000,0.807295,10.6329,0.807295
"LGM","SAT",31.0000,47.0000,0.664775,14.4710,0.664775
"LGM","SAT",35.0000,1.00000,0.816728,4.44094,0.816728
"LGM","SAT",35.0000,35.0000,0.874188,8.72379,0.874188
"LGM","SAT",37.0000,-1.00000,0.686340,4.75708,0.686340
"LGM","SAT",37.0000,1.00000,0.725300,4.47837,0.725300
"LGM","SAT",37.0000,57.0000,0.644685,15.0040,0.644685
"LGM","SAT",39.0000,47.0000,0.586800,14.0459,0.586800
"LGM","SAT",39.0000,57.0000,0.672455,13.7690,0.672455
"LGM","SAT",39.0000,59.0000,0.834356,13.6026,0.834356
"LGM","SAT",41.0000,41.0000,0.614558,9.48267,0.614558
"LGM","SAT",41.0000,43.0000,0.547972,9.09739,0.547972
"LGM","SAT",41.0000,57.0000,0.845290,12.5894,0.845290
"LGM","SAT",45.0000,41.0000,0.679893,7.65318,0.679893
"LGM","SAT",47.0000,-19.0000,0.671139,3.97836,0.671139
"LGM","SAT",47.0000,35.0000,0.970274,9.73627,0.970274
"LGM","SAT",49.0000,-19.0000,0.671139,3.97836,0.671139
"LGM","SAT",57.0000,55.0000,0.678820,7.89801,0.678820
"LGM","SAT",63.0000,57.0000,0.910099,9.05165,0.910099
"LGM","SAT",65.0000,65.0000,0.696581,9.29414,0.696581
"LGM","SAT",65.0000,67.0000,0.756808,9.08290,0.756808
"LGM","SAT",67.0000,65.0000,0.762672,9.00608,0.762672
"LGM","SAT",69.0000,57.0000,0.549920,9.73607,0.549920
"LGM","SAT",69.0000,59.0000,0.586974,10.0562,0.586974
"LGM","SAT",71.0000,57.0000,0.541662,9.52659,0.541662
"LGM","SAT",71.0000,67.0000,0.805946,7.78247,0.805946
"LGM","SAT",73.0000,39.0000,1.48762,4.61689,1.48762
"LGM","SAT",75.0000,41.0000,1.44534,5.20506,1.44534
"LGM","SAT",83.0000,53.0000,0.752801,7.91358,0.752801
"LGM","SAT",83.0000,55.0000,0.555133,8.83834,0.555133
"LGM","SAT",83.0000,59.0000,0.623386,9.16140,0.623386
"LGM","SAT",85.0000,57.0000,0.687539,8.35830,0.687539
"LGM","SAT",85.0000,69.0000,0.799555,5.46523,0.799555
"LGM","SAT",87.0000,53.0000,0.712030,6.83122,0.712030
"LGM","SAT",89.0000,49.0000,0.769062,4.54057,0.769062
"LGM","SAT",89.0000,69.0000,0.811042,5.03201,0.811042
"LGM","SAT",99.0000,51.0000,1.04617,4.92732,1.04617
"LGM","SAT",101.000,37.0000,0.961050,4.72798,0.961050
"LGM","SAT",111.000,47.0000,0.671648,6.85638,0.671648
"LGM","SAT",135.000,35.0000,0.560428,11.5815,0.560428
"LGM","SAT",175.000,-37.0000,0.822753,3.71000,0.822753
"LGM","SST",-172.500,-42.5000,0.711416,6.08295,0.711416
"LGM","SST",-157.500,22.5000,0.663819,1.25453,0.663819
"LGM","SST",-147.500,52.5000,0.312263,-0.325464,0.312263
"LGM","SST",-137.500,2.50000,0.783774,1.05532,0.783774
"LGM","SST",-132.500,42.5000,0.563531,3.53778,0.563531
"LGM","SST",-127.500,42.5000,0.484968,5.17432,0.484968
"LGM","SST",-122.500,32.5000,0.254699,4.66262,0.254699
"LGM","SST",-122.500,37.5000,0.342664,4.33756,0.342664
"LGM","SST",-122.500,42.5000,0.759354,5.76259,0.759354
"LGM","SST",-117.500,32.5000,0.267474,4.93843,0.267474
"LGM","SST",-112.500,27.5000,0.999122,10.1623,0.999122
"LGM","SST",-107.500,-7.50000,0.515598,0.169219,0.515598
"LGM","SST",-107.500,22.5000,1.06973,3.80385,1.06973
"LGM","SST",-97.5000,2.50000,0.814308,3.27315,0.814308
"LGM","SST",-92.5000,-2.50000,0.770975,2.30725,0.770975
"LGM","SST",-92.5000,2.50000,0.292151,1.34083,0.292151
"LGM","SST",-92.5000,27.5000,0.353813,3.21727,0.353813
"LGM","SST",-87.5000,-2.50000,0.183079,0.772712,0.183079
"LGM","SST",-87.5000,2.50000,0.424543,1.35714,0.424543
"LGM","SST",-87.5000,7.50000,0.732495,5.11602,0.732495
"LGM","SST",-87.5000,27.5000,0.498536,2.25419,0.498536
"LGM","SST",-82.5000,-2.50000,0.310118,1.98399,0.310118
"LGM","SST",-82.5000,7.50000,0.361555,2.77895,0.361555
"LGM","SST",-82.5000,22.5000,0.603467,4.64616,0.603467
"LGM","SST",-77.5000,-17.5000,0.471519,4.22888,0.471519
"LGM","SST",-77.5000,2.50000,1.08646,3.50116,1.08646
"LGM","SST",-77.5000,12.5000,0.310064,2.58419,0.310064
"LGM","SST",-77.5000,17.5000,0.478009,3.74009,0.478009
"LGM","SST",-77.5000,32.5000,0.497895,1.16470,0.497895
"LGM","SST",-72.5000,-42.5000,0.643979,4.92720,0.643979
"LGM","SST",-72.5000,-37.5000,0.452646,1.92459,0.452646
"LGM","SST",-72.5000,12.5000,0.709123,2.62561,0.709123
"LGM","SST",-67.5000,12.5000,0.304143,3.78564,0.304143
"LGM","SST",-62.5000,12.5000,0.438267,3.37366,0.438267
"LGM","SST",-62.5000,42.5000,0.782091,10.2670,0.782091
"LGM","SST",-57.5000,-52.5000,0.715033,-2.77390,0.715033
"LGM","SST",-57.5000,32.5000,0.718217,-0.640539,0.718217
"LGM","SST",-57.5000,42.5000,0.565464,8.53092,0.565464
"LGM","SST",-52.5000,42.5000,0.723682,8.93150,0.723682
"LGM","SST",-47.5000,-27.5000,0.359205,2.33357,0.359205
"LGM","SST",-47.5000,42.5000,0.475387,2.72117,0.475387
"LGM","SST",-47.5000,57.5000,0.725252,5.11746,0.725252
"LGM","SST",-42.5000,-22.5000,0.520024,3.50603,0.520024
"LGM","SST",-42.5000,2.50000,0.503568,4.85510,0.503568
"LGM","SST",-37.5000,-32.5000,0.473814,0.970300,0.473814
"LGM","SST",-37.5000,-22.5000,0.314871,2.71241,0.314871
"LGM","SST",-37.5000,-2.50000,0.317837,2.66859,0.317837
"LGM","SST",-37.5000,52.5000,0.414908,4.22809,0.414908
"LGM","SST",-32.5000,-7.50000,0.316073,1.04519,0.316073
"LGM","SST",-32.5000,-2.50000,0.492542,1.23352,0.492542
"LGM","SST",-32.5000,2.50000,0.403773,3.52844,0.403773
"LGM","SST",-32.5000,7.50000,0.721440,3.84695,0.721440
"LGM","SST",-32.5000,37.5000,0.295904,4.43993,0.295904
"LGM","SST",-32.5000,42.5000,0.370594,3.92418,0.370594
"LGM","SST",-32.5000,52.5000,0.701043,6.53718,0.701043
"LGM","SST",-32.5000,57.5000,0.443833,4.11326,0.443833
"LGM","SST",-27.5000,37.5000,0.742100,4.89499,0.742100
"LGM","SST",-27.5000,42.5000,0.352285,3.34960,0.352285
"LGM","SST",-27.5000,47.5000,0.388163,9.85437,0.388163
"LGM","SST",-27.5000,52.5000,0.577483,10.9754,0.577483
"LGM","SST",-27.5000,57.5000,0.248429,6.44477,0.248429
"LGM","SST",-27.5000,62.5000,0.285946,3.05646,0.285946
"LGM","SST",-22.5000,-2.50000,0.490043,3.24248,0.490043
"LGM","SST",-22.5000,7.50000,0.330646,2.07578,0.330646
"LGM","SST",-22.5000,17.5000,0.470842,3.28639,0.470842
"LGM","SST",-22.5000,42.5000,0.689687,3.73802,0.689687
"LGM","SST",-22.5000,52.5000,0.184909,6.88077,0.184909
"LGM","SST",-22.5000,57.5000,0.476386,4.10946,0.476386
"LGM","SST",-22.5000,67.5000,0.446517,1.98623,0.446517
"LGM","SST",-17.5000,7.50000,1.13714,3.40862,1.13714
"LGM","SST",-17.5000,17.5000,0.369475,2.68297,0.369475
"LGM","SST",-17.5000,22.5000,0.257594,2.02493,0.257594
"LGM","SST",-17.5000,27.5000,0.367444,5.68132,0.367444
"LGM","SST",-17.5000,52.5000,0.235714,7.10744,0.235714
"LGM","SST",-17.5000,57.5000,0.637844,4.31918,0.637844
"LGM","SST",-17.5000,62.5000,0.612513,3.29659,0.612513
"LGM","SST",-17.5000,67.5000,0.360474,2.16935,0.360474
"LGM","SST",-17.5000,72.5000,0.394169,-1.75985,0.394169
"LGM","SST",-12.5000,-42.5000,0.656820,1.85040,0.656820
"LGM","SST",-12.5000,-7.50000,0.726553,0.690320,0.726553
"LGM","SST",-12.5000,-2.50000,0.324317,2.33814,0.324317
"LGM","SST",-12.5000,2.50000,1.40412,4.66121,1.40412
"LGM","SST",-12.5000,32.5000,0.507045,3.99100,0.507045
"LGM","SST",-12.5000,37.5000,0.326559,3.19226,0.326559
"LGM","SST",-12.5000,42.5000,0.599410,3.92578,0.599410
"LGM","SST",-12.5000,57.5000,0.663457,8.40533,0.663457
"LGM","SST",-12.5000,62.5000,0.317694,-2.09689,0.317694
"LGM","SST",-12.5000,67.5000,0.272963,-0.883908,0.272963
"LGM","SST",-12.5000,72.5000,0.297057,0.421889,0.297057
"LGM","SST",-7.50000,-2.50000,1.21402,4.65265,1.21402
"LGM","SST",-7.50000,37.5000,0.240417,3.30384,0.240417
"LGM","SST",-7.50000,47.5000,0.756343,7.03178,0.756343
"LGM","SST",-7.50000,62.5000,0.516157,-0.472586,0.516157
"LGM","SST",-7.50000,67.5000,0.329626,-0.325763,0.329626
"LGM","SST",-7.50000,72.5000,0.401854,-3.08863,0.401854
"LGM","SST",-2.50000,37.5000,0.340300,5.78992,0.340300
"LGM","SST",-2.50000,62.5000,0.266947,5.34526,0.266947
"LGM","SST",-2.50000,67.5000,0.579548,6.77328,0.579548
"LGM","SST",-2.50000,72.5000,0.251765,0.806912,0.251765
"LGM","SST",-2.50000,77.5000,0.370336,-0.606116,0.370336
"LGM","SST",2.50000,2.50000,0.418090,4.78223,0.418090
"LGM","SST",2.50000,37.5000,0.812576,4.64481,0.812576
"LGM","SST",2.50000,42.5000,0.528495,7.01084,0.528495
"LGM","SST",2.50000,62.5000,0.310613,4.32818,0.310613
"LGM","SST",2.50000,67.5000,0.212247,6.20242,0.212247
"LGM","SST",2.50000,72.5000,0.376533,2.28311,0.376533
"LGM","SST",2.50000,77.5000,0.295451,0.819661,0.295451
"LGM","SST",2.50000,82.5000,0.733594,1.58550,0.733594
"LGM","SST",7.50000,-42.5000,0.419756,-0.984562,0.419756
"LGM","SST",7.50000,-22.5000,0.418276,3.38198,0.418276
"LGM","SST",7.50000,-7.50000,1.13420,4.28994,1.13420
"LGM","SST",7.50000,-2.50000,0.618130,1.50295,0.618130
"LGM","SST",7.50000,2.50000,0.349917,2.85209,0.349917
"LGM","SST",7.50000,67.5000,0.286560,5.73647,0.286560
"LGM","SST",7.50000,72.5000,0.298721,2.71465,0.298721
"LGM","SST",7.50000,77.5000,0.332053,0.918332,0.332053
"LGM","SST",7.50000,82.5000,0.548178,1.98179,0.548178
"LGM","SST",12.5000,-27.5000,0.524495,2.76531,0.524495
