This data file provides the observational data behind Figure 7.13,,,,,,,,,,,
"It was produced by Dan Lunt, using script plot_all_fgd.pro",,,,,,,,,,,
Time Period,SST or SAT,longitude [degrees],latitude [degrees],mean temperature [degreesC],lower error bar [degreesC],mean temperature [degreesC],upper error bar [degreesC],model mean,model aver,model Seb,model Seb+1 lon
LGM,SAT,-123,47,7.843,1.2643,7.843,1.2643,9.311,9.311,8.973236084,"10.406951904296875,"
LGM,SAT,-121,45,-2.08233,0.260955,-2.08233,0.260955,6.97897,6.97897,8.00970459,"8.15679931640625,"
LGM,SAT,-109,33,9.37668,0.301402,9.37668,0.301402,5.63455,5.63455,6.288421631,"6.358551025390625,"
LGM,SAT,-99,29,5.879,0.340343,5.879,0.340343,7.18433,7.18433,7.816223145,"7.89898681640625,"
LGM,SAT,-93,39,14.3135,0.461818,14.3135,0.461818,14.2115,14.2115,15.61181641,"15.50439453125,"
LGM,SAT,-91,41,15.9472,0.664777,15.9472,0.664777,16.6631,16.6631,17.92324829,"17.910980224609375,"
LGM,SAT,-85,35,9.90473,0.229943,9.90473,0.229943,7.28131,7.28131,8.529541016,"8.24224853515625,"
LGM,SAT,-85,37,10.4329,0.276798,10.4329,0.276798,9.26624,9.26624,11.4887085,"11.10064697265625,"
LGM,SAT,-81,27,6.00007,0.279505,6.00007,0.279505,3.10837,3.10837,3.847473145,"3.37042236328125,"
LGM,SAT,-81,33,5.9119,0.222865,5.9119,0.222865,6.21915,6.21915,6.645507813,"6.760284423828125,"
LGM,SAT,-81,35,13.2452,0.266943,13.2452,0.266943,7.25848,7.25848,7.714782715,"7.909393310546875,"
LGM,SAT,-79,33,5.9119,0.222865,5.9119,0.222865,4.9978,4.9978,6.790252686,"6.469818115234375,"
LGM,SAT,-79,35,14.6043,0.20782,14.6043,0.20782,7.94031,7.94031,8.157653809,"8.41156005859375,"
LGM,SAT,-77,37,13.8977,0.160915,13.8977,0.160915,8.56595,8.56595,10.40524292,"10.38739013671875,"
LGM,SAT,-75,41,8.38,0.4777,8.38,0.4777,15.0521,15.0521,18.65560913,"18.763946533203125,"
LGM,SAT,-41,-7,5.15391,0.497378,5.15391,0.497378,3.54123,3.54123,3.441497803,"3.436492919921875,"
LGM,SAT,-7,43,9.93784,0.908385,9.93784,0.908385,5.70001,5.70001,5.537078857,"5.66131591796875,"
LGM,SAT,-3,37,11.0654,1.02353,11.0654,1.02353,4.90903,4.90903,5.564453125,"5.3316650390625,"
LGM,SAT,-1,7,4.16825,1.06637,4.16825,1.06637,3.3812,3.3812,3.415161133,"3.4241943359375,"
LGM,SAT,-1,43,12.4434,0.708664,12.4434,0.708664,6.828,6.828,6.539459229,"6.939788818359375,"
LGM,SAT,3,43,12.2997,0.673174,12.2997,0.673174,6.22083,6.22083,6.868835449,"6.730224609375,"
LGM,SAT,3,45,12.2868,0.721254,12.2868,0.721254,7.21625,7.21625,7.271331787,"7.138946533203125,"
LGM,SAT,5,45,12.2522,0.712999,12.2522,0.712999,7.45514,7.45514,6.93460083,"7.328460693359375,"
LGM,SAT,7,47,12.3381,0.829749,12.3381,0.829749,7.65878,7.65878,7.467712402,"7.48974609375,"
LGM,SAT,9,5,4.38731,1.00655,4.38731,1.00655,3.33176,3.33176,3.475341797,"3.817413330078125,"
LGM,SAT,13,11,5.51405,0.839107,5.51405,0.839107,3.6944,3.6944,3.641174316,"3.68707275390625,"
LGM,SAT,13,41,12.0761,0.842391,12.0761,0.842391,6.02127,6.02127,6.611083984,"6.860992431640625,"
LGM,SAT,15,-25,4.27233,0.773601,4.27233,0.773601,4.17072,4.17072,3.606262207,"4.312774658203125,"
LGM,SAT,15,-5,3.79916,1.05531,3.79916,1.05531,3.44302,3.44302,3.361450195,"3.61077880859375,"
LGM,SAT,15,41,12.0761,0.842391,12.0761,0.842391,6.19531,6.19531,6.84286499,"6.526458740234375,"
LGM,SAT,19,-33,4.33098,0.832919,4.33098,0.832919,3.90646,3.90646,3.774993896,"3.578277587890625,"
LGM,SAT,19,-25,5.39396,0.247979,5.39396,0.247979,4.44547,4.44547,4.393005371,"4.36956787109375,"
LGM,SAT,19,21,6.57787,1.38627,6.57787,1.38627,5.02533,5.02533,5.487365723,"5.063751220703125,"
LGM,SAT,19,69,7.4,3.2398,7.4,3.2398,20.7147,20.7147,18.75009155,"19.337554931640625,"
LGM,SAT,21,39,11.3061,0.744084,11.3061,0.744084,5.58466,5.58466,5.987945557,"5.95947265625,"
LGM,SAT,21,41,11.8184,0.718719,11.8184,0.718719,6.16287,6.16287,6.497192383,"6.397430419921875,"
LGM,SAT,23,39,11.3061,0.744084,11.3061,0.744084,5.401,5.401,5.738128662,"5.569488525390625,"
LGM,SAT,25,-33,4.98382,0.637301,4.98382,0.637301,3.56152,3.56152,3.864685059,"3.868133544921875,"
LGM,SAT,25,-27,5.13804,0.768299,5.13804,0.768299,3.93011,3.93011,4.157470703,"4.090545654296875,"
LGM,SAT,25,41,11.8897,0.739719,11.8897,0.739719,6.02048,6.02048,6.210998535,"6.232696533203125,"
LGM,SAT,27,49,14.5104,0.706864,14.5104,0.706864,9.61099,9.61099,10.08511353,"10.2193603515625,"
LGM,SAT,29,-29,5.08258,0.994114,5.08258,0.994114,3.43228,3.43228,3.805328369,"3.24627685546875,"
LGM,SAT,29,-25,4.80496,0.932127,4.80496,0.932127,3.76913,3.76913,3.85144043,"3.81982421875,"
LGM,SAT,29,-5,3.53739,0.728785,3.53739,0.728785,3.50272,3.50272,3.698791504,"3.6163330078125,"
LGM,SAT,29,-3,3.76215,0.735463,3.76215,0.735463,3.55936,3.55936,3.431610107,"3.264404296875,"
LGM,SAT,29,-1,4.03691,0.808762,4.03691,0.808762,3.71799,3.71799,3.396942139,"3.06024169921875,"
LGM,SAT,29,37,9.77639,0.789396,9.77639,0.789396,4.6969,4.6969,5.278411865,"5.52996826171875,"
LGM,SAT,31,-11,3.91012,0.67853,3.91012,0.67853,3.51407,3.51407,3.663421631,"3.62957763671875,"
LGM,SAT,31,-9,3.75908,0.574167,3.75908,0.574167,3.69775,3.69775,3.659484863,"3.6422119140625,"
LGM,SAT,31,39,10.6329,0.807295,10.6329,0.807295,5.41229,5.41229,5.436096191,"5.397247314453125,"
LGM,SAT,31,47,14.471,0.664775,14.471,0.664775,8.66397,8.66397,9.141143799,"9.045318603515625,"
LGM,SAT,35,1,4.44094,0.816728,4.44094,0.816728,3.58826,3.58826,3.704162598,"3.279876708984375,"
LGM,SAT,35,35,8.72379,0.874188,8.72379,0.874188,4.6095,4.6095,4.200592041,"4.361053466796875,"
LGM,SAT,37,-1,4.75708,0.68634,4.75708,0.68634,3.45355,3.45355,4.118835449,"3.674102783203125,"
LGM,SAT,37,1,4.47837,0.7253,4.47837,0.7253,3.62259,3.62259,3.479125977,"3.57000732421875,"
LGM,SAT,37,57,15.004,0.644685,15.004,0.644685,13.4548,13.4548,15.03945923,"14.552032470703125,"
